amount,hour,day,senderBalance,receiverBalance,distance,deviceChanged,transactionsLastHour
4151,20,1,96404,75328,53,0,6
4365,10,1,84878,91477,10,0,1
2486,22,2,45475,83666,56,0,6
2839,13,3,95909,21827,16,0,6
2557,12,7,150399,1946,46,0,6
253,5,7,191584,57809,6,0,2
1202,9,2,88384,1390,49,0,4
682,0,4,85820,10121,3,0,3
511,3,1,146382,64965,49,0,3
3846,23,3,13947,72466,26,0,1
517,15,3,79286,17122,58,0,5
3632,15,6,33633,25495,38,0,6
1311,10,2,121843,72947,35,0,5
4360,6,5,78984,44390,57,1,2
3830,5,6,12211,10927,23,0,5
3995,4,6,45696,66449,32,0,4
871,6,1,153725,50556,75,0,1
756,20,7,116361,23195,43,0,3
1168,10,2,162419,99725,36,0,4
4685,17,4,67320,30793,21,0,7
2191,9,1,60798,94368,54,0,7
3991,6,4,111719,79002,48,0,5
3743,4,7,101452,88593,52,0,2
3332,6,2,123542,1924,2,0,4
38,14,3,16781,6515,37,0,3
3148,7,7,48129,9531,46,0,5
4556,12,7,16279,39220,66,0,4
1026,6,7,177870,54473,40,0,1
1461,0,2,186455,10837,71,0,1
315,11,1,162371,59861,77,0,1
3872,10,6,118604,27026,24,0,5
1879,17,3,164163,51494,56,0,3
4216,8,4,130659,60872,67,0,2
2041,2,2,84823,33230,44,0,1
4253,21,2,128246,85817,65,0,5
4280,11,7,175956,96345,54,0,3
1008,20,2,175733,30709,44,0,1
4810,18,3,48894,7869,22,0,3
1883,11,7,33379,91810,32,0,3
4797,16,5,150817,6730,39,0,5
1376,21,6,109975,89603,34,0,6
2897,11,7,56413,3841,24,0,6
4768,18,7,167730,50002,22,0,5
500,17,7,123222,86216,20,0,7
1892,12,4,108889,4159,46,0,2
1083,15,4,34320,70876,56,0,2
4401,15,5,84436,77976,19,0,5
1637,16,4,159536,52137,24,0,1
2191,10,1,110468,85517,5,0,6
2891,7,3,141694,2378,23,0,1
1917,23,5,55210,23499,24,0,4
3207,10,2,148704,31607,18,0,1
4633,21,3,32464,43624,41,0,2
1881,11,7,125209,82441,44,0,2
1524,6,7,71537,48645,17,0,4
4486,8,7,35734,1515,62,0,5
1421,16,7,160234,7008,51,0,5
797,14,2,172516,36340,3,1,2
3270,8,3,119159,46246,8,0,3
2542,9,5,194603,13940,11,0,4
4097,8,4,37966,28777,55,0,7
1841,6,5,153630,62084,77,0,5
4096,17,4,7795,98462,1,1,2
2928,9,7,6605,78506,57,0,3
2943,19,5,117341,92962,59,0,7
3399,15,1,65430,2515,54,0,6
2927,3,7,36186,27928,15,0,3
3665,17,4,6577,29350,44,0,3
2603,3,1,66957,66431,17,0,5
3207,22,1,151583,77106,25,0,6
3563,2,3,129069,55460,77,0,5
4671,23,7,140994,23706,19,0,6
1654,0,5,152646,84255,67,0,3
3839,12,7,55906,1463,70,0,1
4948,9,5,39980,23504,58,0,3
3513,4,3,169211,9802,13,0,5
1350,16,4,133023,48766,49,0,2
3160,5,3,109718,38425,35,0,7
4492,14,5,111337,88527,60,0,6
1917,16,5,46984,42505,61,0,6
898,1,2,39758,6596,30,0,1
4655,13,3,150717,32105,77,0,6
4445,20,5,132732,15626,15,0,1
948,16,2,187774,37993,3,0,2
871,5,1,34670,50112,68,0,3
3246,7,1,71985,58608,63,0,2
1472,5,3,171765,10824,17,0,7
522,23,4,16523,76900,26,0,1
2341,9,1,33899,29229,61,0,7
2931,23,1,117652,78239,17,0,1
238,10,7,42052,58769,78,0,6
508,1,2,172619,43818,70,0,2
4575,0,4,44405,95000,51,0,5
2974,13,1,109186,63894,75,1,3
3279,19,3,34511,81960,53,0,7
4048,18,6,37574,42910,59,0,6
3615,10,4,23557,29060,40,0,1
2169,17,7,46081,5368,37,0,1
1240,13,6,164682,82463,18,0,2
3195,0,4,126684,61892,69,0,3
906,20,5,113047,75219,60,0,2
2905,0,4,185809,97426,16,0,7
3472,11,5,24782,68691,78,0,5
2509,13,6,83863,33769,9,0,1
2709,5,6,126631,44880,0,0,5
3139,5,3,193305,83821,44,0,7
4496,14,4,54178,7937,78,0,7
713,4,5,118793,80737,79,1,7
3801,13,5,8225,60470,66,0,2
2738,22,7,81290,57633,31,0,3
1936,8,1,156100,56565,51,0,7
3091,6,2,140393,96971,20,0,1
3178,9,3,141873,15130,63,0,1
3608,16,6,157049,51617,1,0,2
2070,14,1,143454,56739,21,0,2
1002,10,2,32160,46156,47,0,6
4146,12,6,20479,32376,56,0,1
2053,23,1,24267,16696,16,0,6
4273,10,5,83518,83844,23,0,1
2331,9,4,38324,79929,16,0,1
166,3,2,59675,74591,46,0,1
3286,14,3,45718,83916,18,0,2
4834,13,4,151864,39367,52,0,1
2867,18,1,166771,48691,48,0,3
4672,2,4,110315,58204,6,0,4
4513,21,6,145416,16896,9,0,2
3238,6,4,16397,39799,19,0,1
1367,10,2,107489,46254,32,0,5
733,2,4,164484,52658,1,0,6
1173,11,1,20116,21045,25,0,4
1969,1,2,194518,53428,22,0,4
1309,13,3,143561,92647,77,0,2
3637,13,6,6996,45387,21,0,4
4228,21,6,86268,86042,70,0,3
1807,19,3,118204,23884,47,0,5
152,2,2,5534,92828,36,0,3
4510,7,5,194304,94450,37,0,5
556,22,6,29054,30709,9,0,4
2176,13,2,139312,73201,16,0,6
3816,18,1,110227,31825,3,0,3
651,11,1,13521,51017,5,0,3
3348,11,1,138639,17121,10,0,4
1555,20,4,145399,71663,35,0,4
2310,13,6,68217,90044,20,0,6
2736,19,7,167696,14440,25,0,6
4191,11,2,20734,43429,5,0,2
929,18,2,118783,81583,20,0,5
2096,23,1,53570,47097,55,0,4
2005,15,2,56482,55857,51,0,2
3875,10,7,104041,42139,30,0,1
4635,14,1,56428,24777,34,0,5
4507,13,6,187359,7727,29,0,2
352,19,1,119826,53409,35,0,5
3889,3,2,147226,95948,18,0,3
3391,15,1,91807,34313,52,0,2
4162,15,5,92453,28829,12,0,3
2673,11,2,163666,5763,76,0,4
4387,23,4,76695,88227,72,0,5
1430,4,3,82129,3892,40,0,2
664,9,7,72334,30087,14,0,5
2767,0,4,93074,62465,60,0,5
1018,6,5,189982,36450,15,0,7
4173,7,7,61116,14161,24,0,2
4462,15,1,162403,11763,68,0,6
4389,23,3,128076,28105,76,0,5
2425,13,3,47025,83464,70,0,5
777,18,2,182834,99958,37,0,5
3676,21,3,112509,27627,17,0,4
4320,11,2,96555,94122,8,0,2
4012,22,2,123888,35765,3,0,7
4534,17,7,32675,73267,68,0,1
2921,16,3,85730,5951,34,0,6
4666,5,7,104477,75160,58,0,7
2272,1,1,42335,70351,30,0,3
4032,23,1,167171,40385,79,0,5
4583,11,6,139563,1706,48,0,5
1857,3,7,69926,41633,52,0,7
174,20,7,20504,69593,36,0,6
54,17,6,189381,28043,51,1,4
3842,11,5,120267,58889,65,0,2
3049,9,1,115540,95438,68,0,2
1391,18,5,68879,59560,77,0,5
4154,8,1,50124,36897,56,0,4
3526,7,6,127026,31270,18,0,1
455,10,1,86515,78065,5,0,7
4035,20,4,123910,70711,55,0,4
2543,21,1,46115,97887,20,0,6
4124,0,1,183412,18794,41,0,1
561,2,1,124020,15390,51,0,2
4062,23,7,27486,39258,76,0,1
858,1,3,27738,75231,6,0,2
324,19,1,161688,12182,1,0,4
1562,4,7,157948,9949,70,0,4
4534,3,6,58144,66220,29,0,5
2002,3,3,107413,52012,17,0,3
789,17,1,173733,94898,22,0,7
1321,8,7,178979,51071,59,0,6
2852,18,5,186323,66171,64,0,5
1555,14,3,198631,55205,17,0,3
688,16,5,34777,27183,53,0,2
1435,5,3,44422,36208,72,0,7
2604,17,5,174357,75755,38,1,1
3493,11,2,142450,85685,21,0,4
4998,5,7,173003,25014,0,0,7
4283,9,6,11523,87923,17,0,7
2074,3,7,38085,98064,33,0,6
4150,18,6,144681,36371,14,0,2
3438,17,3,93578,85181,73,0,5
2389,15,1,80020,6495,65,0,7
334,9,1,181844,44730,20,0,4
161,2,3,94080,59535,47,0,7
3137,11,1,82095,69931,45,0,3
1777,16,3,56024,4832,76,0,4
4276,21,7,129010,52638,66,0,2
2453,23,5,197102,12814,12,0,5
502,11,5,75601,89416,56,0,5
4364,23,5,134753,76645,70,0,2
3955,19,2,82511,52742,74,0,5
1103,8,7,191783,44539,56,0,1
2768,6,1,118034,44333,22,0,6
1199,1,6,61920,86326,71,0,4
3871,17,7,162828,61390,17,0,5
3836,9,7,20994,91198,15,0,3
3749,1,6,23316,28304,79,0,7
2800,12,4,78495,32932,57,0,2
2185,6,2,169404,86178,37,0,4
3646,14,2,183735,66886,18,0,5
4287,18,7,52997,8170,63,0,3
1903,10,3,64412,57030,45,0,4
4052,14,2,19016,26022,34,0,7
2954,10,6,138058,77478,50,0,6
4597,9,5,68745,2211,60,0,2
511,20,1,156022,16173,48,1,5
1015,20,5,49377,90317,25,0,6
4376,15,1,74263,58602,51,0,5
897,15,7,97906,17532,65,0,6
3171,5,6,174176,64370,71,0,5
3280,5,5,34685,52134,63,0,2
3383,17,1,54756,62192,14,0,2
4607,15,4,196349,50990,22,0,5
857,5,4,75309,13446,13,1,1
3330,23,5,22948,39826,71,0,5
3728,9,4,54434,67617,45,0,1
2980,0,7,82225,83867,24,0,3
646,5,5,129481,91937,1,0,5
2461,6,4,28104,13224,0,0,5
3559,8,7,9141,24350,74,0,4
1846,12,1,64902,6577,34,1,4
4081,15,3,101498,96119,14,0,3
2762,14,2,66554,51755,42,0,5
2451,10,2,194921,75854,40,0,7
4364,11,7,105400,12801,32,0,7
2512,3,4,15737,66140,35,0,5
3082,23,3,108535,41733,53,0,7
1762,15,2,73178,68136,68,0,6
3809,10,5,174331,97612,52,0,4
2349,19,5,78169,51639,40,0,2
1054,3,4,51694,2582,38,0,2
1630,16,4,173606,40390,77,0,2
4281,13,6,159682,58184,57,0,7
2013,1,3,180400,47202,15,0,5
279,22,4,35562,29036,31,0,1
4918,9,1,129336,70603,17,0,1
1062,17,6,157472,49270,5,0,5
3942,3,2,181881,39328,48,0,3
1303,2,3,101881,21541,63,0,2
1565,15,1,69824,24525,76,0,6
3946,19,5,173455,30483,4,0,7
4662,8,2,145319,24840,66,0,4
1062,2,2,89664,48356,29,0,2
4167,2,6,157131,45722,12,0,3
2368,22,1,166409,2468,40,0,7
4152,1,2,182732,51281,43,0,3
3464,1,5,150693,77870,69,0,3
4502,2,2,185536,72805,23,0,3
2245,16,2,48723,76235,65,0,2
2715,20,4,43445,54803,21,0,6
3707,10,7,122116,38755,29,0,1
2936,8,3,86171,87296,18,0,7
3977,7,3,61022,62991,25,0,3
1929,17,2,82990,90787,40,0,5
376,15,7,131598,94721,11,0,2
1918,4,1,174241,29804,21,0,4
2730,10,7,148377,10969,29,0,5
2986,15,1,197385,35160,5,0,6
115,23,2,10544,14275,73,0,6
3267,5,6,85021,16605,5,0,4
1132,13,6,120631,96335,49,0,5
1427,20,7,54402,92656,78,0,1
4886,1,3,173993,71434,2,0,3
2895,22,1,155737,71246,72,0,5
4940,10,1,142821,47531,68,1,4
2086,17,4,62676,12560,1,0,3
1439,3,3,145790,63637,28,0,6
2712,9,1,109143,14503,31,0,2
3745,22,2,64557,66054,25,1,2
1367,15,1,104764,82218,17,0,7
4866,0,5,42146,41297,69,0,4
365,12,1,148738,63119,2,0,4
3329,13,6,40030,20613,68,0,3
620,16,2,196191,75400,38,0,5
40,10,7,121088,30825,26,0,7
4206,20,2,162060,36507,44,0,4
4143,19,2,145824,69993,31,0,1
2794,0,3,75404,82932,18,0,1
4930,18,3,98789,97516,21,0,1
2444,20,4,170278,95276,32,0,2
221,15,2,70867,89780,38,1,6
737,15,7,108399,89534,49,0,3
1019,14,4,99192,48934,68,0,1
3411,23,2,141496,21625,6,0,5
4165,22,3,145287,40385,28,0,6
442,0,1,94876,25976,22,0,1
2243,13,5,114331,64645,18,0,5
2523,22,6,195189,57096,17,0,5
1983,16,3,99533,42954,33,0,4
851,9,5,20882,67394,15,0,5
4327,16,7,112791,90826,15,0,4
2860,16,5,16953,24535,16,0,6
4065,19,1,104976,29251,52,0,3
2013,5,7,75400,93385,46,0,2
1154,13,2,41021,4782,45,0,7
2675,16,6,130695,4513,23,0,6
3940,19,2,123637,94220,25,0,3
4425,7,4,10993,97341,29,0,3
1992,10,7,180599,10190,18,0,7
948,4,5,105814,84569,25,0,4
4376,19,4,193629,53389,22,0,3
4948,23,2,13314,94831,28,0,2
2496,17,6,44029,2737,8,0,7
2933,11,3,133692,47157,55,0,7
30,9,3,63382,39098,47,0,4
381,11,2,22558,59436,3,0,1
4476,2,5,34332,47737,71,0,1
2612,1,6,134237,3765,66,0,4
1867,1,7,7972,19256,6,0,6
1191,16,6,150778,39231,5,0,5
3969,23,6,137385,8847,46,0,6
767,23,1,154777,1555,75,0,4
3057,6,7,113500,60274,34,0,2
3877,17,6,171353,21187,23,0,6
3318,20,4,12642,80971,4,0,2
4391,7,7,35782,5782,25,0,2
3088,7,4,191278,98469,77,0,6
3725,9,2,55539,45143,24,0,4
1230,2,4,195830,47057,19,0,4
881,2,7,7413,10505,18,0,3
219,8,5,84731,66131,24,0,7
344,15,3,68079,22577,62,0,3
293,20,3,117333,38792,9,0,6
1804,4,1,18777,39346,47,0,6
3855,10,3,117551,31699,1,0,2
234,9,2,21619,79006,71,0,4
1898,14,6,26630,13178,26,0,4
519,7,5,83608,77669,7,1,2
4242,23,7,135466,68313,70,0,6
3677,17,1,143562,25502,45,0,6
1311,10,7,164978,71192,45,0,6
4526,7,2,33511,73782,16,0,6
2365,21,5,105128,11683,76,0,5
2835,5,3,35348,17448,19,0,6
1425,9,1,5368,74960,66,0,2
930,16,1,167008,79858,61,0,7
2110,13,7,153279,23912,55,0,5
807,11,3,155348,98459,30,0,7
4813,19,7,39268,82335,57,0,3
405,6,3,75198,28197,72,0,5
4544,22,4,144608,57747,16,0,7
1126,17,4,97091,86914,14,0,7
1578,19,2,51219,15692,72,0,6
674,12,7,162780,11860,30,0,2
4468,21,5,119316,99971,42,0,3
4080,6,6,8650,46117,38,0,2
607,7,1,153531,36418,32,0,2
3319,15,7,76017,24932,63,0,5
3195,19,1,23807,12767,7,0,5
2918,8,4,115494,86435,75,0,7
4690,6,2,117223,47936,17,0,6
245,10,4,49194,50377,53,0,5
219,15,1,166887,30565,30,0,1
853,20,4,38349,48098,19,0,1
3395,15,6,12213,45223,7,0,3
1367,6,5,44601,74889,74,0,1
3880,21,4,141225,11481,70,0,6
3639,23,7,180221,50112,60,0,6
1451,16,4,25607,62597,16,0,3
4617,17,5,155635,48322,58,0,1
1736,22,2,22221,49506,61,0,4
366,16,6,183379,49340,39,0,2
2238,18,3,179382,70893,15,0,2
2749,15,3,178567,22168,11,0,7
887,22,1,17336,78475,20,0,7
546,6,7,103537,63672,70,0,2
3873,10,1,62378,38310,67,0,1
2710,22,3,43889,52428,38,0,1
1429,1,7,12869,57862,1,0,1
1579,6,4,31442,82948,65,1,7
3674,20,4,172442,6062,7,0,2
3378,10,6,21956,41473,70,0,3
335,10,5,20210,50510,65,0,2
1359,16,1,189484,59971,29,0,1
3818,0,3,90765,49137,10,0,5
2926,19,1,55227,33450,77,0,1
3959,3,5,12065,38684,16,0,1
523,22,6,96141,95707,20,0,5
4096,22,7,27995,93320,13,0,1
158,13,6,50687,38276,7,0,1
2332,0,2,6102,67133,73,0,6
2198,0,5,99937,42548,26,0,6
4856,18,7,131320,27205,47,0,4
4582,10,1,24239,11416,56,0,3
3778,1,2,137425,27986,69,0,4
2612,22,7,80930,27872,36,0,6
443,21,1,106975,94848,78,0,3
2927,5,6,18026,86184,59,1,2
2773,5,3,68755,36825,38,0,4
1597,0,5,65561,78224,57,0,1
2185,22,5,66416,13041,59,0,7
1804,10,7,147658,51231,62,0,5
4733,9,6,193206,10777,70,0,2
1405,8,2,143905,48013,41,0,1
4395,23,1,40282,37737,19,0,5
4193,3,7,101651,86395,0,0,1
3873,13,4,49484,78514,23,0,7
1241,23,5,122399,30377,79,0,1
3578,10,3,30762,51986,28,0,2
1957,10,3,191355,4258,13,0,2
3943,9,2,189704,1055,1,0,7
976,19,3,147728,16893,33,0,1
4445,20,3,126187,62607,44,0,1
2057,21,2,65107,83793,42,0,6
4743,14,7,154967,87912,36,0,6
3206,16,2,105565,77349,71,0,1
3659,14,4,77379,2105,73,0,4
4142,3,5,105300,67961,65,0,2
1500,8,4,61866,48078,9,1,5
2450,14,7,76492,80464,21,0,7
4673,22,4,188258,45648,5,0,7
2117,16,1,92858,85667,69,0,2
4274,13,4,65148,47926,7,0,5
4551,15,6,50771,94135,50,0,2
1134,17,2,170542,19385,0,0,1
1816,3,4,27419,94321,33,0,1
2411,6,5,47249,29341,64,0,5
4697,14,1,103843,11974,22,0,3
3947,12,6,41490,56612,63,0,7
4627,7,5,99924,7458,49,0,6
1946,10,4,181687,18352,1,0,4
899,2,1,178013,73918,75,0,3
3359,5,2,40969,83269,65,0,4
1790,7,2,92948,90614,52,0,2
3195,18,7,59437,49506,10,0,4
1949,20,2,86720,97433,73,0,6
3282,13,3,113073,89822,67,0,6
2765,14,7,107544,19706,50,0,7
1876,15,6,45088,45135,74,0,2
4673,21,1,17818,89222,25,0,4
2080,14,5,50784,10921,15,0,5
690,12,7,31708,19847,53,0,3
4402,15,2,149613,20551,53,0,4
2162,0,1,138558,67691,9,0,6
3631,11,5,20248,69047,34,0,5
1303,1,1,16294,27425,41,0,2
1447,18,4,124943,1002,66,0,6
4333,16,6,187792,16037,20,0,3
1309,2,5,98293,7791,3,0,6
103,11,3,48220,75163,67,0,5
3154,3,4,54228,75495,25,0,5
2883,18,3,61176,53300,76,0,5
2635,9,6,161629,65204,57,0,6
902,15,4,12310,36167,32,0,6
1479,12,6,172214,46679,15,0,3
2321,19,3,14852,6387,15,0,3
2234,10,1,129210,57565,32,1,4
4955,22,6,119476,36645,78,0,4
755,13,6,58175,85216,43,0,7
1735,19,6,102367,47930,65,0,1
3424,4,7,17120,99575,47,0,5
2762,21,3,26605,45813,35,0,1
347,2,2,172984,39374,64,0,3
1658,4,7,105434,30047,14,0,5
4181,19,5,74672,47246,25,0,7
2820,20,1,70548,63363,26,0,4
3631,3,1,180505,77850,8,0,7
630,14,3,151731,35413,67,0,4
3721,8,2,6379,28624,74,0,2
2663,11,5,134560,25843,20,0,1
4231,17,6,86406,10304,48,0,1
4386,7,5,148748,26192,18,0,6
3687,17,1,78741,17365,0,0,1
1433,14,2,137267,54517,23,0,7
4177,1,2,7402,64190,71,0,4
919,20,2,27620,35112,67,0,1
2403,16,7,168030,2695,78,0,2
1413,18,5,15839,66546,58,0,2
3013,8,4,102919,40963,64,0,4
1799,17,7,173678,39640,69,0,5
983,11,7,63643,22534,6,0,2
3577,6,4,42412,48734,66,0,7
4206,23,4,150800,30545,22,0,5
3249,11,6,35615,14746,57,0,1
287,16,1,192965,71641,70,0,6
39,6,7,60381,59601,56,0,7
914,12,2,162826,61194,20,0,4
3883,2,7,131839,18157,31,0,1
4517,20,6,152937,28213,18,0,7
253,8,5,17755,1865,37,0,4
3072,18,1,7015,69916,55,0,6
4965,23,5,189332,44306,75,0,5
1764,18,2,156212,75907,28,0,4
3062,3,2,147744,55238,66,0,1
3170,16,6,132769,26287,26,0,6
4362,15,7,85770,53726,67,0,3
280,7,6,182265,62358,9,0,1
3250,18,6,145548,83806,70,0,4
1795,6,2,133022,83215,5,0,4
4900,10,5,184000,93403,70,0,1
3703,12,3,136436,57921,23,0,2
1079,23,2,146519,97160,9,0,7
2117,2,6,119614,26017,14,1,6
635,23,3,86060,14285,38,0,2
1098,23,4,14372,25312,0,0,6
4500,9,3,137669,12600,35,1,2
249,20,5,110736,25714,74,0,6
2255,12,6,193983,99078,36,0,2
649,14,2,148684,79627,31,0,7
2995,15,2,42361,81720,29,0,5
266,0,7,168616,1037,24,0,3
1450,4,7,39600,49285,56,0,1
4161,0,4,101324,51903,5,0,1
266,9,2,180746,52248,18,0,5
4539,1,1,39743,69752,59,0,5
3866,16,4,92483,3963,49,0,1
986,17,5,37813,67729,14,0,3
256,19,6,136708,4775,79,0,1
4193,23,1,125533,56184,60,0,3
2596,21,2,138180,95905,30,0,6
3496,8,3,148074,86820,45,1,7
3044,19,7,70226,46167,35,0,7
392,16,5,53458,57221,21,0,3
1582,13,1,127402,79467,79,0,2
3970,3,3,25601,20116,25,0,2
4609,0,4,102123,45458,36,0,6
468,15,3,130291,99375,42,0,5
1858,16,7,151903,21125,12,0,1
3036,12,6,189935,90941,60,0,2
2299,10,7,58024,10677,79,0,6
4489,6,7,172932,13975,46,0,5
2676,15,3,174808,62562,5,0,1
2664,11,7,174845,75723,58,0,2
4321,22,1,46616,53134,67,0,4
2314,20,3,117148,58395,42,0,5
1658,11,2,190151,27855,78,0,2
1084,20,4,151192,24147,66,0,2
1056,17,1,89258,85153,58,0,3
2342,0,4,123972,75716,3,0,2
1764,0,6,9482,91964,22,0,5
1768,20,2,66480,6241,37,0,1
2598,14,7,158403,53672,60,0,6
4026,21,6,110338,41077,43,0,5
1429,22,3,147181,27016,32,0,6
4185,15,6,186088,24244,51,0,2
1512,12,3,8770,43865,51,0,4
4572,22,5,96103,93044,68,1,5
3408,23,7,62813,97748,60,0,4
3995,23,5,22158,81992,68,0,5
2513,14,4,17419,34697,68,0,5
1515,0,4,67502,32285,32,0,4
537,20,5,22790,84161,61,0,2
4117,0,2,107395,47728,50,1,2
2903,2,2,42271,78256,12,0,7
4522,20,7,32007,92207,41,0,1
1002,1,3,154229,86481,69,0,1
717,19,3,179166,88889,25,0,1
744,4,5,149352,15746,44,0,2
2025,23,6,152298,96268,70,0,7
390,11,3,48351,49671,56,0,6
3563,18,4,16219,10399,13,0,6
2637,10,3,87016,54010,20,0,1
466,16,4,91008,13076,7,0,5
1156,0,1,74835,9118,4,0,2
4794,17,1,55613,34927,2,0,2
1728,7,3,120377,57414,32,0,5
962,6,7,174807,95702,37,0,6
4852,20,7,114935,3597,21,0,4
2201,11,1,49772,97090,12,0,5
4373,8,3,47722,30048,49,0,1
4594,17,2,16292,41794,44,0,2
3639,2,5,134858,92110,60,0,6
1171,12,1,27113,1694,60,0,1
3808,21,4,11704,41136,51,0,2
4228,21,3,6868,84591,58,0,4
2152,8,3,103557,5102,68,0,6
3343,18,5,128145,11532,78,0,5
2104,13,3,5209,91999,35,0,7
3434,4,5,128862,6607,2,0,4
2220,14,3,131812,26117,74,0,4
4591,7,1,14628,1329,18,0,3
4248,0,1,52850,5722,79,0,4
1110,0,5,166357,25154,13,0,7
2396,14,6,42763,65094,8,0,6
512,13,6,78545,83543,36,0,6
3782,12,3,186553,14435,18,0,6
3961,1,6,56786,69304,54,0,4
785,21,4,137232,88897,1,0,6
3550,18,4,6095,41983,43,0,2
4328,23,3,56999,32153,40,0,4
1222,1,2,83784,99723,75,0,1
1288,5,1,134193,27797,60,0,2
601,14,5,100018,17571,56,1,2
3522,12,7,25566,57125,53,0,1
806,15,5,43562,70110,73,0,7
694,12,2,116301,9007,24,0,7
1073,6,6,10782,67770,45,0,5
4638,0,3,191258,91555,32,0,3
3940,19,1,192163,80301,54,0,7
490,15,7,27551,49068,40,0,7
2382,4,7,170723,67333,17,0,3
3458,6,1,176890,6947,17,0,7
1902,1,1,134958,14418,62,0,1
4843,6,7,177905,1565,75,0,5
3893,3,1,16695,24123,3,0,5
4808,14,1,51978,73420,61,0,6
1751,8,6,59796,45706,42,0,7
726,18,6,33460,65680,41,0,7
3141,7,3,165449,34001,54,0,1
2548,10,7,153345,46647,55,0,6
741,11,2,12025,15481,67,0,7
2548,6,1,172207,65514,16,0,6
2425,19,6,28555,93152,5,0,3
3098,23,4,77908,70109,34,0,3
4985,15,1,134000,30430,34,0,6
2604,6,5,65261,28528,75,0,4
316,18,7,106334,9524,43,0,5
1442,22,7,128182,49591,55,0,3
1560,0,7,125832,87576,72,0,7
244,19,6,47464,23923,31,0,7
90,3,3,65032,18140,39,0,6
1504,12,4,193279,34440,54,0,5
2086,5,7,79191,65791,22,0,6
3186,8,1,112408,1496,55,0,6
4277,13,2,125118,84346,28,0,3
4771,14,7,21375,26218,79,0,4
2896,10,2,13381,24238,23,0,4
1673,11,5,156606,30181,29,0,3
1699,4,3,165477,72325,2,0,3
570,8,5,5296,68945,76,0,7
4302,2,3,44322,28167,63,0,7
3942,2,5,67901,18671,28,0,6
670,11,3,98697,45721,40,1,3
3417,18,4,145118,90336,24,0,2
282,23,1,189598,74143,51,0,5
932,1,1,19925,87787,12,0,4
4233,22,2,179981,89606,9,0,2
2848,2,4,198481,56324,51,0,2
2909,7,7,28365,7026,62,0,3
91,23,7,149905,3970,11,0,1
771,17,2,135546,72200,61,0,7
3669,21,1,21978,57344,56,1,4
3926,0,3,43725,6255,67,0,6
1509,6,7,41163,34971,3,0,3
3102,4,1,91593,70050,6,0,1
4867,22,2,73682,92937,32,0,5
4424,22,1,90973,63137,78,0,2
1126,22,3,140099,6745,35,0,4
3641,18,1,17150,14406,69,0,4
4863,21,5,99415,74469,5,0,5
780,19,2,55812,17059,62,0,3
341,13,1,108235,46510,9,0,2
237,1,2,116860,85785,13,0,6
4532,9,1,10741,17661,67,0,7
412,15,6,44023,41209,22,0,3
4429,12,3,97889,89952,60,0,2
402,11,2,84364,71077,68,0,6
142,3,5,54416,13380,21,0,2
1670,9,5,89274,58609,5,0,5
4559,23,3,59078,59734,58,0,5
2189,7,3,123319,33543,50,0,2
1965,5,3,170229,12322,52,0,1
3176,16,1,134198,18629,53,0,3
2406,0,4,45721,38145,18,0,4
4746,7,1,114034,50492,24,0,1
244,18,5,64252,76145,55,1,7
538,9,7,174275,89901,16,0,2
1763,16,6,150871,61103,76,0,3
2537,5,3,88108,50892,63,0,1
1904,9,4,130702,74527,79,0,4
3093,16,4,112631,69306,11,0,5
579,21,2,106126,34038,64,0,1
1267,14,6,192223,50272,31,0,6
1119,17,3,130520,25561,55,0,5
2456,4,3,49324,89356,2,0,4
1925,17,2,59691,94337,47,0,7
4625,20,6,37314,49697,11,0,4
220,9,7,23891,53115,47,0,4
3715,13,3,25422,10244,73,0,4
697,9,3,88127,93254,16,0,1
3728,15,3,143982,3693,10,0,5
771,9,5,33555,72934,73,0,4
4197,23,5,5036,94948,11,0,5
2737,21,2,34873,37648,44,0,1
3086,11,1,115379,18045,37,1,7
352,9,3,197081,12929,12,0,3
2179,22,3,173410,35283,62,0,7
3554,23,1,33013,53132,52,0,4
49,6,7,196037,65068,13,0,2
4806,3,3,52632,15193,56,0,4
2521,22,2,197879,24086,5,0,7
4523,11,5,71957,98551,42,0,2
265,16,4,20487,20346,40,0,6
580,23,1,67863,1591,5,0,4
357,5,1,42211,42542,50,0,4
3048,14,2,39033,46213,41,0,3
2480,7,3,155033,21044,44,0,7
2746,21,4,133603,88231,76,0,3
2295,6,5,143117,58623,18,0,3
3193,3,6,113199,98274,23,0,5
2432,12,5,191381,65230,28,0,7
539,22,4,74157,33442,0,0,4
4920,2,7,198242,5923,51,0,3
3289,8,3,172647,90796,13,0,2
644,3,3,154370,80876,76,0,1
3848,21,3,80783,45440,39,0,4
3062,2,4,175623,64230,78,0,5
2614,8,4,83616,97489,60,0,1
3729,15,6,79176,95799,6,0,1
1416,18,7,184340,35248,55,0,1
4524,23,1,179735,81903,44,0,1
2560,13,3,56444,35269,52,0,3
1208,15,3,30989,26568,43,0,4
3686,21,1,139137,3036,46,0,5
86,8,7,153131,24052,43,0,5
498,13,2,25043,3419,60,0,5
2534,0,4,83497,7487,20,0,1
268,11,3,88038,74167,73,0,3
196,5,5,71320,94556,59,0,5
1370,20,3,36921,5746,55,0,7
78,11,5,93913,79946,19,0,5
853,22,5,196012,63085,70,0,1
2206,7,1,45934,7050,48,0,5
2611,14,4,91332,95605,67,1,2
2133,0,4,60781,4869,6,0,4
